sym,month,net,pnl_pct,reason,entry_px,exit_px,notional,held_bars,cap_after
APTUSDT,2026-03,34.56219723451927,0.9883991636417067,TRAILING_LOCK,0.996199191892147,1.0060456163730145,3804.736796097621,161,11706.016961635783
ANKRUSDT,2026-03,-88.87676317952385,-2.200000000000013,STOP_LOSS,0.005221044166479259,0.005106181194816715,3898.103648224716,48,11617.14019845626
FETUSDT,2026-03,248.32511213534985,6.499999999999995,TAKE_PROFIT,0.22744548486471175,0.242229441380918,3867.9924008621483,51,7995.410221431241
APTUSDT,2026-03,248.35819344671685,6.499999999999995,TAKE_PROFIT,1.0342068391084671,1.1014302836505174,3868.507686085935,287,12113.823504038326
FILUSDT,2026-03,258.97658716343346,6.499999999999995,TAKE_PROFIT,0.8001600119233131,0.8521704126983284,4033.9032268447627,108,12372.80009120176
FETUSDT,2026-03,-93.93924741244015,-2.200000000000002,STOP_LOSS,0.23774754040539264,0.232517094516474,4120.142430370186,34,12278.86084378932
FETUSDT,2026-03,-40.790711240209795,-0.9176058032365098,STALL_EXIT,0.22784555673301218,0.22575483268201352,4088.860660981844,144,12238.07013254911
ALGOUSDT,2026-04,261.6328061357145,6.499999999999995,TAKE_PROFIT,0.11752349970191717,0.12516252718254178,4075.2773541388538,118,12499.702938684826
VETUSDT,2026-04,29.969287765790646,0.8000000000000007,TRAILING_LOCK,0.007474494459573179,0.007534290415249764,4162.401078582047,86,12529.672226450617
LTCUSDT,2026-04,30.041142130137857,0.8000000000000007,TRAILING_LOCK,54.77095032119751,55.20911792376709,4172.380851408056,266,12559.713368580757
ROSEUSDT,2026-04,268.5090882215403,6.499999999999995,TAKE_PROFIT,0.011232246294803917,0.01196234230396617,4182.384551737392,40,12828.222456802298
ORDIUSDT,2026-04,274.24943661499293,6.499999999999995,TAKE_PROFIT,8.204640668678284,8.737942312142371,4271.7980781151655,5,13102.471893417289
ORDIUSDT,2026-04,-99.47920760358143,-2.200000000000002,STOP_LOSS,8.166632961845398,7.986967036684799,4363.123140507957,1,13002.992685813708
ORDIUSDT,2026-04,18.185985570378683,0.49999999999998934,TRAILING_LOCK,8.395678853416443,8.437657247683525,4329.996564375965,3,13021.178671384085
ORDIUSDT,2026-04,18.211420489796932,0.49999999999998934,TRAILING_LOCK,8.064612325286864,8.104935386913297,4336.0524975709,3,13039.39009187388
ORDIUSDT,2026-04,18.236890982494387,0.49999999999998934,TRAILING_LOCK,7.815562929725647,7.854640744374274,4342.116900594002,2,13057.626982856375
ORDIUSDT,2026-04,279.15378421569284,6.499999999999995,TAKE_PROFIT,7.590518025112152,8.08390169674444,4348.189785291173,3,13336.780767072067
ORDIUSDT,2026-04,285.12170130692664,6.499999999999995,TAKE_PROFIT,7.378475255012512,7.858076146588325,4441.147995434999,8,13621.902468378992
ORDIUSDT,2026-04,218.39895982503063,4.894692615291829,TRAILING_LOCK,7.179435573291778,7.530846876117326,4536.093521970205,14,13840.301428204024
ORDIUSDT,2026-04,-105.06710776036826,-2.200000000000002,STOP_LOSS,6.916382961845398,6.764222536684799,4608.206480717911,1,9124.570416701477
ORDIUSDT,2026-04,19.207520362101302,0.49999999999998934,TRAILING_LOCK,6.5923182801246645,6.625279871525287,4573.219133833708,3,9143.77793706358
ORDIUSDT,2026-04,19.2343840000795,0.49999999999998934,TRAILING_LOCK,6.385276624488831,6.417203007611274,4579.615238114288,3,9163.01232106366
ORDIUSDT,2026-04,-104.56126256608803,-2.200000000000002,STOP_LOSS,6.340268025112152,6.200782128559685,4586.0202879863145,5,9058.451058497572
ORDIUSDT,2026-04,292.18712908082614,6.499999999999995,TAKE_PROFIT,6.1862369427680965,6.588342344048023,4551.201387551808,16,9350.638187578399
ORDIUSDT,2026-04,298.4336808385931,6.499999999999995,TAKE_PROFIT,5.791157961845398,6.1675832293653485,4648.499701535723,1,9649.071868416991
ORDIUSDT,2026-04,82.81662005031741,1.8242869847341137,TRAILING_LOCK,5.814162802219391,5.920229817491531,4747.878117254974,34,9731.88848846731
ORDIUSDT,2026-04,20.0569154172725,0.49999999999998934,TRAILING_LOCK,5.7311460190773005,5.759801749172686,4775.45605173173,4,9751.945403884583
ORDIUSDT,2026-04,-109.01815495137424,-2.200000000000002,STOP_LOSS,5.452090413665771,5.332144424565124,4781.498024183074,3,4858.8793903657
NEARUSDT,2026-04,-65.75216367275198,-1.3466592818624834,STALL_EXIT,1.3772753742456436,1.3587281675815583,4608.82037559194,374,9403.791130435126
ORDIUSDT,2026-04,19.840436292411994,0.49999999999998934,TRAILING_LOCK,5.147029108428955,5.172764253971099,4723.91340295527,21,9423.631566727538
CKBUSDT,2026-04,-107.85586211588655,-2.200000000000002,STOP_LOSS,0.001588317584618926,0.0015533745977573097,4730.5202682406425,17,9315.775704611651
ORDIUSDT,2026-04,-107.0369772683578,-2.199999999999991,STOP_LOSS,4.454890796184539,4.35688319866848,4694.604266156052,1,9208.738727343294
ORDIUSDT,2026-04,299.10529316498923,6.499999999999995,TAKE_PROFIT,4.353870764064789,4.636872363729,4658.96095272569,36,9507.844020508284
ORDIUSDT,2026-04,305.4997455854461,6.499999999999995,TAKE_PROFIT,4.733946401596069,5.041652917699813,4758.563015349631,31,9813.34376609373
ORDIUSDT,2026-04,-109.49375782380122,-2.1728214985036964,STALL_EXIT,4.593918535137177,4.49410088558197,4860.294430629585,261,9703.850008269928
ORDIUSDT,2026-04,34.731597666774235,0.8000000000000007,TRAILING_LOCK,4.49689901304245,4.532874205146789,4823.833009274259,43,9738.581605936703
TRXUSDT,2026-04,70.683807162176,1.5580805455030378,TRAILING_LOCK,0.3275654856920242,0.33266921979837416,4782.135004565683,1823,14593.313271666388
GALAUSDT,2026-04,-46.08769359638154,-0.8683897158579423,STALL_EXIT,0.0036207240904681383,0.003589282094826922,4859.573319464907,80,14547.225578070003
TRXUSDT,2026-04,34.021380747647676,0.7823078593454325,MONTH_END,0.32406480095386503,0.32659998536109924,4844.226117497311,1380,14581.24695881765
ORDIUSDT,2026-05,114.626763233288,2.4410489006861713,TRAILING_LOCK,5.654130477905273,5.792150567779541,4854.90847732867,46,9838.376262669746
ORDIUSDT,2026-05,-42.067497251668954,-0.7797346501578595,STALL_EXIT,5.271053980922699,5.229953746604919,4893.0791894853555,65,9796.308765418078
ORDIUSDT,2026-05,313.23633976821515,6.499999999999995,TAKE_PROFIT,4.955990923690796,5.278130333730697,4879.0707129005505,96,10109.545105186295
ORDIUSDT,2026-05,-43.87203106794769,-0.8003672413139373,STALL_EXIT,5.1280252550125125,5.086982220745087,4983.378414043366,149,10065.673074118347
FILUSDT,2026-05,-43.341558354243055,-0.7922795950594863,STALL_EXIT,1.063212563753128,1.0547889475584031,4968.769027697741,146,5052.237085225787
ORDIUSDT,2026-05,-113.27284387872255,-2.200000000000013,STOP_LOSS,5.337067165660858,5.219651688016318,4968.107187663251,23,9909.058671885381
TRXUSDT,2026-05,311.7266462337785,6.499999999999995,TAKE_PROFIT,0.3265652985692024,0.34779204297620053,4855.555237286278,1703,15078.282777500352
GALAUSDT,2026-05,322.3525761870687,6.499999999999995,TAKE_PROFIT,0.0036607319293543695,0.0038986795047624033,5021.068164907618,242,15400.63535368742
FILUSDT,2026-05,329.24402297234116,6.499999999999995,TAKE_PROFIT,1.077215421938896,1.1472344243649242,5128.411572777911,29,15729.879376659763
OPUSDT,2026-05,37.713958793479364,0.8000000000000007,TRAILING_LOCK,0.1656331218123436,0.16695818678684235,5238.049832427701,71,5289.397099722909
